,name,position,minutes,cost,total_points,value,points_per_90
95,Alexis Mac Allister,Midfielder,1108,5.5,48,8.7,3.9
96,Jakub Moder,Midfielder,643,4.5,21,4.7,2.94
97,Danny Welbeck,Forward,1541,6.0,89,14.8,5.2
99,James Tarkowski,Defender,3240,5.0,109,21.8,3.03
101,Erik Pieters,Defender,1260,4.5,50,11.1,3.57
102,Jack Cork,Midfielder,1350,4.5,33,7.3,2.2
104,Kevin Long,Defender,636,4.0,14,3.5,1.98
105,Jay Rodriguez,Forward,1248,5.5,54,9.8,3.89
106,Ashley Barnes,Forward,1324,5.5,52,9.5,3.53
107,Ben Mee,Defender,2693,5.0,102,20.4,3.41
108,Ashley Westwood,Midfielder,3410,5.5,112,20.4,2.96
109,Johann Berg Gudmundsson,Midfielder,1358,5.5,50,9.1,3.31
110,Chris Wood,Forward,2741,7.0,138,19.7,4.53
111,Matthew Lowton,Defender,3060,4.5,103,22.9,3.03
112,Matej Vydra,Forward,1359,5.5,62,11.3,4.11
113,Nick Pope,Goalkeeper,2880,5.5,144,26.2,4.5
114,Charlie Taylor,Defender,2425,4.5,83,18.4,3.08
116,Josh Brownhill,Midfielder,2812,4.5,74,16.4,2.37
119,Dwight McNeil,Midfielder,3068,6.0,113,18.8,3.31
121,César Azpilicueta,Defender,2187,6.0,113,18.8,4.65
122,Olivier Giroud,Forward,740,6.5,47,7.2,5.72
123,Thiago Thiago,Defender,1935,5.5,92,16.7,4.28
124,Marcos Alonso,Defender,958,5.5,57,10.4,5.35
125,Jorge Luiz Frello Filho,Midfielder,2006,6.0,114,19.0,5.11
126,Ross Barkley,Midfielder,1566,5.5,76,13.8,4.37
127,Mateo Kovacic,Midfielder,1809,5.0,54,10.8,2.69
128,Michy Batshuayi,Forward,717,5.5,41,7.5,5.15
129,Antonio Rüdiger,Defender,1710,5.5,93,16.9,4.89
130,Kurt Zouma,Defender,2027,5.5,108,19.6,4.8
